protein1	protein2	score
P12931	Q9Y5F6	711
Q8TD08	P19419	711
Q9NYQ7	P19784	711
Q8TD08	Q9HBH9	711
Q13634	O60716	711
P55291	P04626	711
Q99683	P01375	711
P12931	Q9HBT6	711
P06241	Q9Y5G7	711
P35222	Q9Y5G6	711
Q9NYQ6	Q15303	711
Q99466	P80370	711
P25024	P05231	711
Q9NRJ7	Q8NEV1	711
P18031	Q8TAB3	711
Q14627	P29353	711
Q9H1J5	Q9H461	711
O60716	Q9HC56	711
Q9Y5I4	P21860	711
Q12933	Q12851	711
Q8NEV1	Q9P2E7	711
P63267	Q9HBT6	711
P01375	Q15628	711
Q9NPG4	Q15303	711
P01589	P52333	711
P24394	P10145	711
P67870	Q9UN72	711
Q02750	P01112	711
O95206	Q9UQB3	711
Q9Y243	P42345	711
Q9UHF4	P10145	711
Q14116	P25025	711
P63267	Q9Y5I1	711
Q8TDW7	P68133	711
P12931	Q9Y5H6	711
P26951	P25025	711
O14654	P14616	711
Q9Y5I3	P19784	711
P35568	P01583	711
P00533	Q8N6Y1	711
Q99665	Q9NPF7	711
P60709	P19784	711
Q13467	O14905	711
P35225	P25025	711
P42338	P60568	711
Q9Y5H1	O60716	711
Q9NPG4	P16591	711
P12931	Q9ULB5	711
Q9Y5F9	P42685	711
O60716	Q9Y5H9	711
Q9HBE4	P52333	711
P62736	Q9HCL0	711
P29353	P14784	711
P35222	Q9Y5F7	711
Q9UHF4	P05113	711
Q9UN73	P60709	711
O15519	Q92851	711
Q13651	P10145	711
Q9UN75	Q9UQB3	711
P68032	Q9ULB4	711
Q9Y5H8	P06241	711
P28482	P42229	711
P67870	O95206	711
Q96QU1	P35222	711
P00533	Q9Y5E3	711
Q06187	Q05655	711
P35222	Q9Y5E8	711
Q15303	Q9UJ99	711
Q9Y5I4	P63267	711
P06241	Q9Y5E5	711
Q15303	Q9Y5E9	711
P68032	Q9Y5H5	711
P68032	Q9Y5F2	711
P63261	Q8TDW7	711
P06241	P12830	711
Q13651	P05113	711
Q8TD08	P52630	711
P06241	P19022	711
P28482	P18847	711
O95206	Q8NEV1	711
Q9Y5F8	P60709	711
P67870	Q9Y5G8	711
Q15303	Q96JP9	711
Q96QU1	P06241	711
P63261	Q9HCU4	711
Q9Y5H8	P62736	711
Q9H488	P46531	711
Q9Y4H2	P78552	711
Q15349	Q13164	711
P40259	P43405	711
Q9UJ99	P16591	711
P26951	P20809	711
P20333	Q06643	711
P60568	P52333	711
P61160	Q8N6Y1	711
Q9Y5F0	Q15303	711
P62736	Q9Y5E5	711
Q9Y5F0	P21860	711
P28482	P42226	711
Q9UHF4	P25025	711
P62736	P12830	711
P28482	Q15349	711
P62736	P19022	711
P60709	O75309	711
P35222	Q562R1	711
P42338	P05112	711
P01589	P01583	711
P68133	O60716	711
P63261	Q96QU1	711
Q96QU1	P62736	711
Q9Y5E7	P19784	711
Q92851	P55210	711
Q9UN75	O60716	711
Q96JP9	P16591	711
Q13164	P49137	711
Q8TD08	P41970	711
Q04759	O15111	711
P08887	P01583	711
Q9Y5F9	P16591	711
Q13651	P35568	711
Q13261	Q08334	711
P26951	Q9Y4H2	711
Q9Y5G8	P61160	711
P35225	P01589	711
Q06643	Q15628	711
P42685	Q9Y5E9	711
Q9Y5G8	Q15303	711
P68032	O60330	711
O60716	Q9Y5E9	711
Q02156	O15111	711
O75084	Q12841	711
O60245	P61160	711
Q9H1J7	Q9ULW2	711
Q08174	P61160	711
P14616	P05019	711
Q9Y5G2	Q8NEV1	711
Q9Y5H8	Q562R1	711
Q13467	P56704	711
Q9UN73	P19784	711
P67870	Q9Y5E6	711
Q9Y4H2	P42336	711
P19022	Q8NEV1	711
Q14116	P35568	711
Q9NR28	Q13490	711
Q14517	P19784	711
Q12933	Q05655	711
P04626	Q9UN67	711
P42338	P13232	711
Q9UP38	O14905	711
Q9Y243	P46527	711
P68032	Q9Y5E3	711
Q9H6Q3	Q01344	711
P12931	Q9P2E7	711
P68032	Q9Y5H8	711
P18031	P35222	711
P63267	Q9P2E7	711
Q9Y4H2	P14784	711
P00533	O75309	711
P63267	Q9UJ99	711
P01111	P04049	711
Q04721	Q86X95	711
Q9NYQ7	Q15303	711
P27361	P36507	711
Q12933	P78560	711
P62736	Q9Y5H1	711
P63261	P19784	711
P35222	P56703	711
Q9H6Q3	P40189	711
