protein1	protein2
9606.ENSP00000262866	9606.ENSP00000319635
9606.ENSP00000363435	9606.ENSP00000483570
9606.ENSP00000304915	9606.ENSP00000263967
9606.ENSP00000356694	9606.ENSP00000286186
9606.ENSP00000424565	9606.ENSP00000494750
9606.ENSP00000473553	9606.ENSP00000406229
9606.ENSP00000363068	9606.ENSP00000269571
9606.ENSP00000341268	9606.ENSP00000286186
9606.ENSP00000476145	9606.ENSP00000437790
9606.ENSP00000416706	9606.ENSP00000473553
9606.ENSP00000239449	9606.ENSP00000275493
9606.ENSP00000340677	9606.ENSP00000434034
9606.ENSP00000431748	9606.ENSP00000355645
9606.ENSP00000358548	9606.ENSP00000274376
9606.ENSP00000225512	9606.ENSP00000229030
9606.ENSP00000224337	9606.ENSP00000306253
9606.ENSP00000319635	9606.ENSP00000304895
9606.ENSP00000296545	9606.ENSP00000432511
9606.ENSP00000263388	9606.ENSP00000384018
9606.ENSP00000386857	9606.ENSP00000262150
9606.ENSP00000346671	9606.ENSP00000287008
9606.ENSP00000323901	9606.ENSP00000272164
9606.ENSP00000497915	9606.ENSP00000412209
9606.ENSP00000458162	9606.ENSP00000269141
9606.ENSP00000281092	9606.ENSP00000371689
9606.ENSP00000386857	9606.ENSP00000355082
9606.ENSP00000498083	9606.ENSP00000337691
9606.ENSP00000381589	9606.ENSP00000473553
9606.ENSP00000497915	9606.ENSP00000227752
9606.ENSP00000307134	9606.ENSP00000436042
