From	Entry	Entry Name
ENSG00000185670	Q9H5J0	ZBTB3_HUMAN
ENSG00000074657	Q9HCE3	ZN532_HUMAN
ENSG00000118922	Q9Y4X4	KLF12_HUMAN
ENSG00000033800	O75925	PIAS1_HUMAN
ENSG00000198429	Q9UC07	ZNF69_HUMAN
ENSG00000144331	Q569K4	Z385B_HUMAN
ENSG00000189180	Q06730	ZN33A_HUMAN
ENSG00000176083	Q8IZ20	ZN683_HUMAN
ENSG00000168267	Q7RTS3	PTF1A_HUMAN
ENSG00000167981	Q96LX8	ZN597_HUMAN
ENSG00000186564	O60548	FOXD2_HUMAN
ENSG00000151615	Q12837	PO4F2_HUMAN
ENSG00000168214	Q06330	SUH_HUMAN
ENSG00000072310	P36956	SRBP1_HUMAN
ENSG00000163508	O95936	EOMES_HUMAN
ENSG00000151702	Q01543	FLI1_HUMAN
ENSG00000147596	Q9GZV8	PRD14_HUMAN
ENSG00000248483	Q8N7G0	PO5F2_HUMAN
ENSG00000159915	A6NK53	ZN233_HUMAN
ENSG00000197961	P58317	ZN121_HUMAN
ENSG00000198131	Q6NX49	ZN544_HUMAN
ENSG00000064835	P28069	PIT1_HUMAN
ENSG00000273274	Q8NAP8	ZBT8B_HUMAN
ENSG00000196628	P15884	ITF2_HUMAN
ENSG00000119138	Q13886	KLF9_HUMAN
ENSG00000169856	Q9UBC0	HNF6_HUMAN
ENSG00000181135	Q96C28	ZN707_HUMAN
ENSG00000168269	Q12951	FOXI1_HUMAN
ENSG00000141510	P04637	P53_HUMAN
ENSG00000077150	Q00653	NFKB2_HUMAN
ENSG00000086102	Q12986	NFX1_HUMAN
ENSG00000125398	P48436	SOX9_HUMAN
ENSG00000182158	Q70SY1	CR3L2_HUMAN
ENSG00000233757	A0A087WUV0	ZN892_HUMAN
ENSG00000108064	Q00059	TFAM_HUMAN
ENSG00000125945	Q9C0F3	ZN436_HUMAN
ENSG00000212993	Q06416	P5F1B_HUMAN
ENSG00000197054	Q0D2J5	ZN763_HUMAN
ENSG00000175592	P15407	FOSL1_HUMAN
ENSG00000139651	Q8NDX6	ZN740_HUMAN
ENSG00000177888	Q5SVQ8	ZBT41_HUMAN
ENSG00000204060	A8MYZ6	FOXO6_HUMAN
ENSG00000147180	Q9Y462	ZN711_HUMAN
ENSG00000103460	O15405	TOX3_HUMAN
ENSG00000164736	Q9H6I2	SOX17_HUMAN
ENSG00000151090	P10828	THB_HUMAN
ENSG00000176302	Q6PIV2	FOXR1_HUMAN
ENSG00000152926	Q03924	ZN117_HUMAN
